kabpaten,idkab,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
Simeulue,1101,0.18,-0.36,0.65,-0.34,0.13,-0.54,-0.77,-0.09,-0.52,-0.46,-0.43,-0.05,-0.40,0.91,-0.44
Aceh Singkil,1102,0.66,-0.12,1.86,-0.36,0.76,-0.86,0.57,-0.29,-0.39,-0.33,0.48,-0.04,-0.39,1.14,-1.42
Aceh Selatan,1103,0.49,-0.28,0.96,-0.28,-0.50,0.10,0.57,1.74,0.00,-0.39,-0.34,-0.05,-0.39,0.15,0.05
Aceh Tenggara,1104,0.40,-0.13,-0.43,-0.32,0.13,-0.54,0.57,0.72,-0.52,-0.27,-0.25,-0.05,-0.40,0.19,-0.44
Aceh Timur,1105,0.66,-0.12,1.43,-0.27,0.13,-0.54,0.12,1.54,-0.39,-0.52,-0.34,-0.05,-0.39,0.32,-0.27
Aceh Tengah,1106,-0.31,-0.13,-0.79,-0.35,0.76,-0.54,0.12,0.11,-0.52,-0.52,-0.43,-0.05,-0.40,0.46,-0.60
Aceh Barat,1107,-0.17,-0.11,1.35,-0.31,0.13,-0.22,0.12,0.52,-0.26,-0.20,-0.25,-0.04,-0.39,0.88,-0.27
Aceh Besar,1108,0.44,-0.14,1.48,-0.28,0.13,0.10,0.57,1.54,-0.52,-0.33,-0.25,-0.04,-0.36,0.25,-0.93
Pidie,1109,-0.20,-0.26,1.10,-0.33,0.13,0.75,1.02,2.15,-0.13,-0.46,-0.43,-0.05,-0.36,0.97,-0.11
Bireuen,1110,0.46,-0.08,-0.24,-0.28,0.76,-0.22,1.02,2.76,-0.52,-0.08,-0.43,-0.05,-0.32,0.21,-0.27
Aceh Utara,1111,0.42,-0.27,1.87,-0.36,0.13,0.10,1.46,2.15,-0.39,-0.46,-0.43,-0.05,-0.33,0.70,-0.44
Aceh Barat Daya,1112,0.64,-0.22,-0.05,-0.32,0.13,-0.54,0.12,0.72,-0.26,-0.52,-0.43,-0.05,-0.39,0.56,-0.11
Gayo Lues,1113,-0.11,-0.20,-1.19,-0.29,2.01,-0.86,0.12,-0.29,0.00,-0.46,-0.34,-0.05,-0.41,1.02,-0.77
Aceh Tamiang,1114,0.27,-0.26,0.73,-0.30,0.13,-0.22,0.12,0.11,-0.26,-0.20,-0.25,-0.05,-0.36,0.18,-0.44
Nagan raya,1115,-0.46,-0.18,0.41,-0.36,-0.50,-0.22,-0.77,0.32,-0.26,-0.52,-0.34,-0.05,-0.40,0.78,0.22
Aceh Jaya,1116,-0.92,-0.12,-0.10,-0.26,0.76,-0.22,0.12,0.52,-0.26,-0.39,0.21,-0.03,-0.41,0.18,0.05
Bener Meriah,1117,-0.55,-0.08,-1.51,-0.17,0.76,-0.22,-0.77,0.11,-0.65,-0.46,-0.34,-0.04,-0.39,0.95,-0.27
Pidie Jaya,1118,-0.46,-0.12,-0.03,-0.34,0.76,0.43,1.02,2.76,-0.26,-0.52,-0.43,-0.04,-0.35,0.95,-0.44
Banda Aceh,1171,-0.13,-0.12,1.11,-0.36,0.13,-0.86,1.02,0.93,-0.65,2.57,-0.06,-0.02,1.38,-0.61,-3.06
Sabang,1172,-0.48,-0.36,0.08,-0.30,1.39,-0.54,0.12,0.32,-0.39,-0.52,0.57,0.01,-0.31,0.47,-0.77
Langsa,1173,0.84,-0.24,1.46,-0.36,0.13,-0.54,-0.32,0.52,-0.52,-0.20,0.12,-0.05,-0.09,-0.18,-1.26
Lhokseumawe,1174,0.66,-0.13,2.95,-0.34,-0.50,-0.54,1.02,1.95,-0.52,-0.52,-0.15,-0.04,0.09,-0.10,-1.09
Subulussalam,1175,1.21,-0.22,1.26,-0.36,2.01,-1.19,-0.32,-0.29,-0.26,-0.52,-0.34,-0.05,-0.39,0.77,-1.75
N i a s,1201,2.00,-0.34,-1.48,0.74,0.76,-0.22,1.46,0.52,0.25,-0.52,-0.43,-0.05,-0.39,0.51,-1.42
Mandailing Natal,1202,0.33,-0.31,0.87,-0.28,1.39,-0.22,0.57,1.13,-0.52,-0.39,-0.43,-0.05,-0.39,-0.37,-0.77
Tapanuli Selatan,1203,0.44,-0.39,-0.11,-0.31,0.13,-0.22,0.57,1.13,-0.65,-0.39,-0.34,-0.05,-0.40,-0.43,-0.44
Tapanuli Tengah,1204,1.19,-0.08,1.26,-0.25,0.76,-0.54,1.02,1.33,-0.39,-0.27,-0.43,-0.04,-0.35,0.07,-0.77
Tapanuli Utara,1205,0.46,-0.36,-1.37,-0.31,0.13,0.43,0.57,1.54,-0.65,-0.27,-0.43,-0.05,-0.39,-0.32,-0.60
Toba,1206,-0.09,-0.41,-1.41,-0.30,0.13,0.43,0.57,1.74,-0.52,-0.46,-0.43,-0.05,-0.39,-0.43,-0.44
Labuhanbatu,1207,0.71,-0.12,0.57,-0.35,-0.50,-0.54,-0.32,-0.09,-0.65,-0.52,-0.25,-0.05,-0.33,-0.45,-0.27
A s a h a n,1208,0.35,-0.34,1.09,-0.32,0.76,-0.54,0.57,-0.29,-0.52,-0.39,-0.34,-0.05,-0.34,-0.29,-0.11
Simalungun,1209,-0.44,-0.41,-0.01,-0.31,0.13,0.43,0.57,0.93,-0.52,-0.33,-0.34,-0.05,-0.34,-0.40,0.22
D a i r i,1210,0.13,-0.43,-1.26,-0.28,0.13,0.43,0.57,2.15,-0.65,-0.39,-0.43,-0.05,-0.36,-0.55,-0.44
K a r o,1211,-0.90,-0.14,-1.48,-0.31,-0.50,0.10,0.57,1.13,-0.52,-0.46,0.57,-0.04,-0.34,-0.48,0.05
Deli Serdang,1212,0.33,-0.05,0.59,-0.35,-0.50,-0.54,0.12,0.11,-0.52,-0.46,-0.15,-0.05,-0.05,-1.04,-0.44
L a n g k a t,1213,-0.11,-0.37,0.39,-0.35,-0.50,-0.22,0.12,0.32,-0.52,-0.46,-0.15,-0.05,-0.35,-0.26,0.22
